id,name,is_subtechnique,tactics,platforms,description
T1006,Direct Volume Access,False,stealth,Network Devices|Windows,Adversaries may directly access a volume to bypass file access controls and file system monitoring. Windows allows programs to have direct access to logical volumes. Programs with direct access may read and write files directly from the drive by analyzing file system data structu
T1007,System Service Discovery,False,discovery,Linux|macOS|Windows,"Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <co"
T1008,Fallback Channels,False,command-and-control,ESXi|Linux|macOS|Windows,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.
T1010,Application Window Discovery,False,discovery,Linux|macOS|Windows,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect"
T1011,Exfiltration Over Other Network Medium,False,exfiltration,Linux|macOS|Windows,"Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bl"
T1011.001,Exfiltration Over Bluetooth,True,exfiltration,Linux|macOS|Windows,"Adversaries may attempt to exfiltrate data over Bluetooth rather than the command and control channel. If the command and control network is a wired Internet connection, an adversary may opt to exfiltrate data using a Bluetooth communication channel."
T1012,Query Registry,False,discovery,Windows,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software."
T1014,Rootkit,False,stealth,Linux|macOS|Windows,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system "
T1016,System Network Configuration Discovery,False,discovery,ESXi|Linux|macOS|Network Devices|Windows,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this infor"
T1016.001,Internet Connection Discovery,True,discovery,Windows|Linux|macOS|ESXi,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites, or "
T1016.002,Wi-Fi Discovery,True,discovery,Linux|Windows|macOS,"Adversaries may search for information about Wi-Fi networks, such as network names and passwords, on compromised systems. Adversaries may use Wi-Fi information as part of [Account Discovery](https://attack.mitre.org/techniques/T1087), [Remote System Discovery](https://attack.mitr"
T1018,Remote System Discovery,False,discovery,ESXi|Linux|macOS|Network Devices|Windows,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available "
T1020,Automated Exfiltration,False,exfiltration,Linux|macOS|Network Devices|Windows,"Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.(Citation: ESET Gamaredon June 2020) "
T1020.001,Traffic Duplication,True,exfiltration,Network Devices|IaaS,"Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure. Traffic mirroring is a native feature for some devices, often used for network analysis. For example, devices may be configured to forward network traffic to one or "
T1021,Remote Services,False,lateral-movement,Linux|macOS|Windows|IaaS|ESXi,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a service that accepts remote connections, such as telnet, SSH, and VNC. The adversary may then perform actions as the logged-on user."
T1021.001,Remote Desktop Protocol,True,lateral-movement,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.
T1021.002,SMB/Windows Admin Shares,True,lateral-movement,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.
T1021.003,Distributed Component Object Model,True,lateral-movement,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote machines by taking advantage of Distributed Component Object Model (DCOM). The adversary may then perform actions as the logged-on user.
T1021.004,SSH,True,lateral-movement,ESXi|Linux|macOS,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.
T1021.005,VNC,True,lateral-movement,Linux|Windows|macOS,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the RFB (“remote framebuffer”) protocol to enable users to remotely 
T1021.006,Windows Remote Management,True,lateral-movement,Windows,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with remote systems using Windows Remote Management (WinRM). The adversary may then perform actions as the logged-on user.
T1021.007,Cloud Services,True,lateral-movement,IaaS|Identity Provider|Office Suite|SaaS,Adversaries may log into accessible cloud services within a compromised environment using [Valid Accounts](https://attack.mitre.org/techniques/T1078) that are synchronized with or federated to on-premises user identities. The adversary may then perform management actions or acces
T1021.008,Direct Cloud VM Connections,True,lateral-movement,IaaS,Adversaries may leverage [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log directly into accessible cloud hosted compute infrastructure through cloud native methods. Many cloud providers offer interactive connections to virtual infrastructure that can be accessed
T1025,Data from Removable Media,False,collection,Linux|macOS|Windows,"Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive, USB memory, etc.) connected to the compromised system prior to Exfiltration. Interactive co"
T1027,Obfuscated Files or Information,False,stealth,ESXi|Linux|macOS|Network Devices|Windows,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses"
T1027.001,Binary Padding,True,stealth,Linux|macOS|Windows,"Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due "
T1027.002,Software Packing,True,stealth,Linux|macOS|Windows,Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable. Packing an executable changes the file signature in an attempt to avoid signature-based detection. Most 
T1027.003,Steganography,True,stealth,Linux|macOS|Windows,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files."
T1027.004,Compile After Delivery,True,stealth,Linux|macOS|Windows,Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code. Text-based source code files may subvert analysis and scrutiny from protections targeting executables/binaries. These payloads will need to be compiled be
T1027.005,Indicator Removal from Tools,True,stealth,Linux|macOS|Windows,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or su"
T1027.006,HTML Smuggling,True,stealth,Linux|macOS|Windows,Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into fi
T1027.007,Dynamic API Resolution,True,stealth,Windows,Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](https://attack.mitre.org/techniques/T1106) functions provided by the OS
T1027.008,Stripped Payloads,True,stealth,Linux|macOS|Network Devices|Windows,"Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information. Scripts and executables may contain variables names and other strings that help developers document code functionality. Symbols are often created by "
T1027.009,Embedded Payloads,True,stealth,Linux|macOS|Windows,"Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable a"
T1027.010,Command Obfuscation,True,stealth,Linux|macOS|Windows,Adversaries may obfuscate content during command execution to impede detection. Command-line obfuscation is a method of making strings and patterns within commands and scripts more difficult to signature and analyze. This type of obfuscation can be included within commands execut
T1027.011,Fileless Storage,True,stealth,Linux|Windows,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common examples of non-volatile fileless storage in Windows systems include the Windows Registry, event logs, or "
T1027.012,LNK Icon Smuggling,True,stealth,Windows,"Adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files. Windows shortcut files (.LNK) include many metadata fields, including an icon location field (also known as the `IconEnvir"
T1027.013,Encrypted/Encoded File,True,stealth,Linux|macOS|Windows,"Adversaries may encrypt or encode files to obfuscate strings, bytes, and other specific patterns to impede detection. Encrypting and/or encoding file content aims to conceal malicious artifacts within a file used in an intrusion. Many other techniques, such as [Software Packing]("
T1027.014,Polymorphic Code,True,stealth,Linux|macOS|Windows,"Adversaries may utilize polymorphic code (also known as metamorphic or mutating code) to evade detection. Polymorphic code is a type of software capable of changing its runtime footprint during code execution.(Citation: polymorphic-blackberry) With each execution of the software,"
T1027.015,Compression,True,stealth,Linux|macOS|Windows,"Adversaries may use compression to obfuscate their payloads or files. Compressed file formats such as ZIP, gzip, 7z, and RAR can compress and archive multiple files together to make it easier and faster to transfer files. In addition to compressing files, adversaries may also com"
T1027.016,Junk Code Insertion,True,stealth,Linux|macOS|Windows,"Adversaries may use junk code / dead code to obfuscate a malware’s functionality. Junk code is code that either does not execute, or if it does execute, does not change the functionality of the code. Junk code makes analysis more difficult and time-consuming, as the analyst steps"
T1027.017,SVG Smuggling,True,stealth,Linux|macOS|Windows,"Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign SVG files.(Citation: Trustwave SVG Smuggling 2025) SVGs, or Scalable Vector Graphics, are vector-based image files constructed using XML. As such, they can legitima"
T1027.018,Invisible Unicode,True,stealth,Linux|macOS|Windows,"Adversaries may abuse invisible or non-printing Unicode characters to conceal malicious content within files, scripts, or text. By inserting characters that do not visibly render, adversaries may hide data, alter how content is interpreted, or make malicious code appear as benign"
T1029,Scheduled Transfer,False,exfiltration,Linux|macOS|Windows,Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.
T1030,Data Transfer Size Limits,False,exfiltration,Linux|macOS|Windows|ESXi,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.
T1033,System Owner/User Discovery,False,discovery,Linux|macOS|Network Devices|Windows,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using [OS Credential Dumping](https://att"
T1036,Masquerading,False,stealth,Containers|ESXi|Linux|macOS|Windows,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defense"
T1036.001,Invalid Code Signature,True,stealth,macOS|Windows,"Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with. Adversaries ca"
T1036.002,Right-to-Left Override,True,stealth,Linux|macOS|Windows,"Adversaries may abuse the right-to-left override (RTLO or RLO) character (U+202E) to disguise a string and/or file name to make it appear benign. RTLO is a non-printing Unicode character that causes the text that follows it to be displayed in reverse. For example, a Windows scree"
T1036.003,Rename Legitimate Utilities,True,stealth,Linux|macOS|Windows,"Adversaries may rename legitimate / system utilities to try to evade security mechanisms concerning the usage of those utilities. Security monitoring and control mechanisms may be in place for legitimate utilities adversaries are capable of abusing, including both built-in binari"
T1036.004,Masquerade Task or Service,True,stealth,Linux|macOS|Windows,Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign. Tasks/services executed by the Task Scheduler or systemd will typically be given a name and/or description.(Citation: TechNet Schtasks)(Citation: Systemd Service Units) Win
T1036.005,Match Legitimate Resource Name or Location,True,stealth,Containers|ESXi|Linux|macOS|Windows,"Adversaries may match or approximate the name or location of legitimate files, Registry keys, or other resources when naming/placing them. This is done for the sake of evading defenses and observation. "
T1036.006,Space after Filename,True,stealth,Linux|macOS,"Adversaries can hide a program's true filetype by changing the extension of a file. With certain file types (specifically this does not work with .app extensions), appending a space to the end of a filename will change how the file is processed by the operating system."
T1036.007,Double File Extension,True,stealth,Windows,Adversaries may abuse a double extension in the filename as a means of masquerading the true file type. A file name may include a secondary file type extension that may cause only the first extension to be displayed (ex: <code>File.txt.exe</code> may render in some views as just 
T1036.008,Masquerade File Type,True,stealth,Linux|macOS|Windows,"Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, icon, and contents. Various file types have a typical standard format, including how they are encoded and organized. For examp"
T1036.009,Break Process Trees,True,stealth,Linux|macOS,"An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent process ID (PPID). If endpoint protection software leverages the “parent-child"" relationship for detection, breaking this relationship could result in the adversary’s behavior not"
T1036.010,Masquerade Account Name,True,stealth,Containers|IaaS|Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,"Adversaries may match or approximate the names of legitimate accounts to make newly created ones appear benign. This will typically occur during [Create Account](https://attack.mitre.org/techniques/T1136), although accounts may also be renamed at a later date. This may also coinc"
T1036.011,Overwrite Process Arguments,True,stealth,Linux,"Adversaries may modify a process's in-memory arguments to change its name in order to appear as a legitimate or benign process. On Linux, the operating system stores command-line arguments in the process’s stack and passes them to the `main()` function as the `argv` array. The fi"
T1036.012,Browser Fingerprint,True,stealth,Linux|macOS|Windows,"Adversaries may attempt to blend in with legitimate traffic by spoofing browser and system attributes like operating system, system language, platform, user-agent string, resolution, time zone, etc.  The HTTP User-Agent request header is a string that lets servers and network pee"
T1037,Boot or Logon Initialization Scripts,False,persistence|privilege-escalation,ESXi|Linux|macOS|Network Devices|Windows,"Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.(Citation: Mandiant APT29 Eye Spy Email Nov 22)(Citation: Anomali Rocke March 2019) Initialization scripts can be used to perform administrative functions, which may often "
T1037.001,Logon Script (Windows),True,persistence|privilege-escalation,Windows,Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system.(Citation: TechNet Logon Scripts) This is done via adding a path 
T1037.002,Login Hook,True,persistence|privilege-escalation,macOS,Adversaries may use a Login Hook to establish persistence executed upon user logon. A login hook is a plist file that points to a specific script to execute with root privileges upon user logon. The plist file is located in the <code>/Library/Preferences/com.apple.loginwindow.pli
T1037.003,Network Logon Script,True,persistence|privilege-escalation,Windows,Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. Network logon scripts can be assigned using Active Directory or Group Policy Objects.(Citation: Petri Logon Script AD) These logon scripts run with the privileges of
T1037.004,RC Scripts,True,persistence|privilege-escalation,macOS|Linux|Network Devices|ESXi,"Adversaries may establish persistence by modifying RC scripts, which are executed during a Unix-like system’s startup. These files allow system administrators to map and start custom services at startup for different run levels. RC scripts require root privileges to modify."
T1037.005,Startup Items,True,persistence|privilege-escalation,macOS,Adversaries may use startup items automatically executed at boot initialization to establish persistence. Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system t
T1039,Data from Network Shared Drive,False,collection,Linux|macOS|Windows,"Adversaries may search network shares on computers they have compromised to find files of interest. Sensitive data can be collected from remote systems via shared network drives (host shared directory, network file server, etc.) that are accessible from the current system prior t"
T1040,Network Sniffing,False,credential-access|discovery,IaaS|Linux|macOS|Network Devices|Windows,"Adversaries may passively sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wirele"
T1041,Exfiltration Over C2 Channel,False,exfiltration,ESXi|Linux|macOS|Windows,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.
T1046,Network Service Discovery,False,discovery,Containers|IaaS|Linux|macOS|Network Devices|Windows,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port, vulnerability, and/or wordlist s"
T1047,Windows Management Instrumentation,False,execution,Windows,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management data and operations on Windows systems.(Citation: WMI 1-3) WMI is an administration feature that pro
T1048,Exfiltration Over Alternative Protocol,False,exfiltration,ESXi|IaaS|Linux|macOS|Network Devices|Office Suite|SaaS|Windows,Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.  
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,True,exfiltration,Linux|macOS|Windows|ESXi,Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. 
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,True,exfiltration,ESXi|Linux|macOS|Windows,Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. 
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,True,exfiltration,ESXi|Linux|macOS|Network Devices|Windows,Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.(Citation: copy_cmd_cisco)
T1049,System Network Connections Discovery,False,discovery,ESXi|IaaS|Linux|macOS|Network Devices|Windows,Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. 
T1052,Exfiltration Over Physical Medium,False,exfiltration,Linux|macOS|Windows,"Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a physical medium or device introduced by a user. Such media could be an external hard dri"
T1052.001,Exfiltration over USB,True,exfiltration,Linux|Windows|macOS,"Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user. The USB device could be used as the final exfiltration point or to "
T1053,Scheduled Task/Job,False,execution|persistence|privilege-escalation,Containers|ESXi|Linux|macOS|Network Devices|Windows,Adversaries may abuse task scheduling functionality to facilitate initial or recurring execution of malicious code. Utilities exist within all major operating systems to schedule programs or scripts to be executed at a specified date and time. A task can also be scheduled on a re
T1053.002,At,True,execution|persistence|privilege-escalation,Windows|Linux|macOS,"Adversaries may abuse the [at](https://attack.mitre.org/software/S0110) utility to perform task scheduling for initial or recurring execution of malicious code. The [at](https://attack.mitre.org/software/S0110) utility exists as an executable within Windows, Linux, and macOS for "
T1053.003,Cron,True,execution|persistence|privilege-escalation,Linux|macOS|ESXi,Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.(Citation: 20 macOS Common Tools and Techniques) The <code>cron</code> utility is a time-based job scheduler for Unix-like operating systems.  The <
T1053.005,Scheduled Task,True,execution|persistence|privilege-escalation,Windows,Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code. There are multiple ways to access the Task Scheduler in Windows. The [schtasks](https://attack.mitre.org/software/S0111) utility can be run directly o
T1053.006,Systemd Timers,True,execution|persistence|privilege-escalation,Linux,Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code. Systemd timers are unit files with file extension <code>.timer</code> that control services. Timers can be set to run on a calendar event or after a time span rel
T1053.007,Container Orchestration Job,True,execution|persistence|privilege-escalation,Containers,"Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code. Container orchestration jobs run these automated tasks at a specific date and time, similar "
T1055,Process Injection,False,stealth|privilege-escalation,Linux|macOS|Windows,Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges. Process injection is a method of executing arbitrary code in the address space of a separate live process. Running code in the context of another process ma
T1055.001,Dynamic-link Library Injection,True,stealth|privilege-escalation,Windows,Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges. DLL injection is a method of executing arbitrary code in the address space of a separate live process.  
T1055.002,Portable Executable Injection,True,stealth|privilege-escalation,Windows,Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges. PE injection is a method of executing arbitrary code in the address space of a separate live process. 
T1055.003,Thread Execution Hijacking,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. Thread Execution Hijacking is a method of executing arbitrary code in the address space of a separate live process. 
T1055.004,Asynchronous Procedure Call,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges. APC injection is a method of executing arbitrary code in the address space of a separate live proc
T1055.005,Thread Local Storage,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges. TLS callback injection is a method of executing arbitrary code in the address space of a separate live pr
T1055.008,Ptrace System Calls,True,stealth|privilege-escalation,Linux,Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges. Ptrace system call injection is a method of executing arbitrary code in the address space of a separate li
T1055.009,Proc Memory,True,stealth|privilege-escalation,Linux,Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges. Proc memory injection is a method of executing arbitrary code in the address space of a separate live process. 
T1055.011,Extra Window Memory Injection,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is a method of executing arbitrary code in the address space of a separate live process. 
T1055.012,Process Hollowing,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process.  
T1055.013,Process Doppelgänging,True,stealth|privilege-escalation,Windows,Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges. Process doppelgänging is a method of executing arbitrary code in the address space of a separate live process. 
T1055.014,VDSO Hijacking,True,stealth|privilege-escalation,Linux,Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of executing arbitrary code in the address space of a separate live 
T1055.015,ListPlanting,True,stealth|privilege-escalation,Windows,Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. ListPlanting is a method of executing arbitrary code in the address space of a separate live process.(Citatio
T1056,Input Capture,False,collection|credential-access,Linux|macOS|Network Devices|Windows,"Adversaries may use methods of capturing user input to obtain credentials or collect information. During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes. Input capture mechanisms may be transp"
T1056.001,Keylogging,True,collection|credential-access,Linux|macOS|Network Devices|Windows,"Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) efforts are not effective, and may requ"
T1056.002,GUI Input Capture,True,collection|credential-access,Linux|macOS|Windows,"Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt. When programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to promp"
T1056.003,Web Portal Capture,True,collection|credential-access,Linux|macOS|Windows,"Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service. For example, a compromised login page may log provided user credentials before logging the user in to the service"
T1056.004,Credential API Hooking,True,collection|credential-access,Windows|Linux|macOS,Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials. Malicious hooking mechanisms may capture API or function calls that include parameters that reveal user authentication credentials.(Citation
T1057,Process Discovery,False,discovery,ESXi|Linux|macOS|Network Devices|Windows,Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Administrator or otherwise elevated access may provide better process
T1059,Command and Scripting Interpreter,False,execution,Containers|ESXi|IaaS|Identity Provider|Linux|macOS|Network Devices|Office Suite|SaaS|Windows,"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms. Most systems come with some built-in command"
